Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code
TERMINAL SKYPARK,KS03,Keretapi Tanah Melayu,3.134420,101.55543,KS,Skypark Link,10,Brown,#A52A2A
SUBANG JAYA,KS02,Keretapi Tanah Melayu,3.084660,101.588127,KS,Skypark Link,10,Brown,#A52A2A
KL SENTRAL,KS01,Keretapi Tanah Melayu,3.132675,101.687891,KS,Skypark Link,10,Brown,#A52A2A
USJ7,SB7,Rapid Bus,3.055250,101.59198,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SOUTH QUAY-USJ1,SB6,Rapid Bus,3.061620,101.59681,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SUNU MONASH,SB5,Rapid Bus,3.065300,101.60161,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SUNMED,SB4,Rapid Bus,3.065540,101.60861,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
MENTARI,SB2,Rapid Bus,3.076130,101.61023,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SUNWAY LAGOON,SB3,Rapid Bus,3.070650,101.61079,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
SUNWAY-SETIA JAYA,SB1,Rapid Bus,3.082920,101.61228,SB,BRT Sunway Line,B1,Dark Green,#1E4D2B
