Stop ID,Name,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code
KJ14,PASAR SENI,Rapid KL,3.142439,101.69531,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ13,MASJID JAMEK,Rapid KL,3.149714,101.696815,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ12,DANG WANGI,Rapid KL,3.156942,101.701975,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ11,KAMPUNG BARU,Rapid KL,3.161386,101.706608,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ10,KLCC,Rapid KL,3.158935,101.713287,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ9,AMPANG PARK,Rapid KL,3.159894,101.719017,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ2,TAMAN MELATI,Rapid KL,3.219558,101.72197,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ1,GOMBAK,Rapid KL,3.231206,101.724429,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ8,DAMAI,Rapid KL,3.164406,101.724489,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ3,WANGSA MAJU,Rapid KL,3.205751,101.731796,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ7,DATO' KERAMAT,Rapid KL,3.16509,101.73184,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ6,JELATEK,Rapid KL,3.167204,101.735344,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ5,SETIAWANGSA,Rapid KL,3.17576,101.73584,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KJ4,SRI RAMPAI,Rapid KL,3.199176,101.73747,KJ,Kelana Jaya Line,5,Ruby,#e0115f
KE3,KLIA2,Express Rail Link,2.7445694,101.685081,KE,KLIA Ekspres,6,Purple,#800080
KE2,KUALA LUMPUR INTERNATIONAL AIRPORT,Express Rail Link,2.7549259,101.7048248,KE,KLIA Ekspres,6,Purple,#800080
KE1,KL SENTRAL,Express Rail Link,3.132675,101.687891,KE,KLIA Ekspres,6,Purple,#800080
KT3,PUTRAJAYA & CYBERJAYA,Express Rail Link,2.9314193,101.6708369,KT,KLIA Transit,7,Teal,#139593
KT6,KLIA2,Express Rail Link,2.7445694,101.685081,KT,KLIA Transit,7,Teal,#139593
KT5,KUALA LUMPUR INTERNATIONAL AIRPORT,Express Rail Link,2.7549259,101.7048248,KT,KLIA Transit,7,Teal,#139593
KT2,BANDAR TASIK SELATAN,Express Rail Link,3.076067,101.711311,KT,KLIA Transit,7,Teal,#139593
KT4,SALAK TINGGI,Express Rail Link,2.8257973,101.7133911,KT,KLIA Transit,7,Teal,#139593
KT1,KL SENTRAL,Express Rail Link,3.132675,101.687891,KT,KLIA Transit,7,Teal,#139593
MR1,KL SENTRAL,Rapid KL,3.132675,101.687891,MR,KL Monorail Line,8,Light Green,#7dba00
MR2,TUN SAMBANTHAN,Rapid KL,3.131452,101.690862,MR,KL Monorail Line,8,Light Green,#7dba00
MR11,TITIWANGSA,Rapid KL,3.173204,101.695964,MR,KL Monorail Line,8,Light Green,#7dba00
MR10,CHOW KIT,Rapid KL,3.167394,101.698385,MR,KL Monorail Line,8,Light Green,#7dba00
MR9,MEDAN TUANKU,Rapid KL,3.159271,101.6989,MR,KL Monorail Line,8,Light Green,#7dba00
MR3,MAHARAJALELA,Rapid KL,3.138948,101.699203,MR,KL Monorail Line,8,Light Green,#7dba00
MR8,BUKIT NANAS,Rapid KL,3.156244,101.704766,MR,KL Monorail Line,8,Light Green,#7dba00
MR4,HANG TUAH,Rapid KL,3.140681,101.706037,MR,KL Monorail Line,8,Light Green,#7dba00
MR5,IMBI,Rapid KL,3.142812,101.709447,MR,KL Monorail Line,8,Light Green,#7dba00
MR7,RAJA CHULAN,Rapid KL,3.150837,101.710442,MR,KL Monorail Line,8,Light Green,#7dba00
MR6,BUKIT BINTANG,Rapid KL,3.146077,101.711499,MR,KL Monorail Line,8,Light Green,#7dba00
SBK05,KWASA SENTRAL,Rapid KL,3.169826,101.564913,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK04,KWASA DAMANSARA,Rapid KL,3.17615,101.57205,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK02,KAMPUNG SELAMAT,Rapid KL,3.19727,101.5785,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK06,KOTA DAMANSARA,Rapid KL,3.15013,101.57869,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK01,SUNGAI BULOH,Rapid KL,3.206333,101.581736,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK07,SURIAN,Rapid KL,3.14948,101.59392,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK08,MUTIARA DAMANSARA,Rapid KL,3.1553,101.60908,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK09,BANDAR UTAMA,Rapid KL,3.146504,101.618798,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK10,TTDI,Rapid KL,3.13613,101.63054,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK12,PHILEO DAMANSARA,Rapid KL,3.129037,101.643153,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK13,PUSAT BANDAR DAMANSARA,Rapid KL,3.143323,101.662374,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK14,SEMANTAN,Rapid KL,3.150982,101.665292,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK15,MUZIUM NEGARA,Rapid KL,3.13732,101.68734,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK16,PASAR SENI,Rapid KL,3.14229,101.69556,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK17,MERDEKA,Rapid KL,3.14197,101.70205,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK18A,BUKIT BINTANG,Rapid KL,3.1465,101.71095,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK20,TUN RAZAK EXCHANGE,Rapid KL,3.1424,101.72016,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK21,COCHRANE,Rapid KL,3.13283,101.72296,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK22,MALURI,Rapid KL,3.12362,101.72781,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK23,TAMAN PERTAMA,Rapid KL,3.11255,101.72937,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK24,TAMAN MIDAH,Rapid KL,3.10451,101.73219,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK25,TAMAN MUTIARA,Rapid KL,3.09099,101.74045,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK26,TAMAN CONNAUGHT,Rapid KL,3.07917,101.74522,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK27,TAMAN SUNTEX,Rapid KL,3.07158,101.76355,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
SBK31,BUKIT DUKUNG,Rapid KL,3.02641,101.77107,SB,MRT Sungai Buloh - Kajang Line,9,Green,#008000
