Name,Stop ID,Service Provider Name,Latitude,Longitude,ROUTE ID,Route Name,Line Number,Line Colour,Colour Hex Code,City
PORT KLANG,KD19,Keretapi Tanah Melayu,2.999459,101.391373,KD,Port Klang Line,2,Red,#ff0000,Kuala Lumpur
KL SENTRAL,KE1,Express Rail Link,3.132675,101.687891,KE,KLIA Ekspres,6,Purple,#800080,Kuala Lumpur
KUALA LUMPUR INTERNATIONAL AIRPORT,KE2,Express Rail Link,2.7549259,101.7048248,KE,KLIA Ekspres,6,Purple,#800080,Kuala Lumpur
KLIA2,KE3,Express Rail Link,2.7445694,101.685081,KE,KLIA Ekspres,6,Purple,#800080,Kuala Lumpur
GOMBAK,KJ1,Rapid KL,3.231206,101.724429,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
KLCC,KJ10,Rapid KL,3.158935,101.713287,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
KAMPUNG BARU,KJ11,Rapid KL,3.161386,101.706608,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
DANG WANGI,KJ12,Rapid KL,3.156942,101.701975,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
MASJID JAMEK,KJ13,Rapid KL,3.149714,101.696815,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
PASAR SENI,KJ14,Rapid KL,3.142439,101.695310,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
KL SENTRAL,KJ15,Rapid KL,3.134067,101.686535,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
BANGSAR,KJ16,Rapid KL,3.127588,101.679062,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
ABDULLAH HUKUM,KJ17,Rapid KL,3.118735,101.672897,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
KERINCHI,KJ18,Rapid KL,3.115506,101.668572,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
UNIVERSITI,KJ19,Rapid KL,3.114616,101.661639,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
TAMAN MELATI,KJ2,Rapid KL,3.219558,101.721970,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
TAMAN JAYA,KJ20,Rapid KL,3.104086,101.645248,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
ASIA JAYA,KJ21,Rapid KL,3.104343,101.637695,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
TAMAN PARAMOUNT,KJ22,Rapid KL,3.104716,101.623192,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Kuala Lumpur
